16:00:09 [INFO] __main__: log file: C:\document\wingman_yolo\logs\wingman_yolo.log
16:00:09 [INFO] __main__: loaded config from ./configs/config.yaml
16:00:14 [INFO] core.detector: frame #229: 1 detections found (max conf=0.504, cls0=1)
16:00:14 [INFO] core.detector: frame #232: 1 detections found (max conf=0.549, cls0=1)
16:00:14 [INFO] core.detector: frame #234: 1 detections found (max conf=0.874, cls0=1)
16:00:14 [INFO] core.detector: frame #236: 1 detections found (max conf=0.917, cls0=1)
16:00:14 [INFO] core.detector: frame #238: 1 detections found (max conf=0.871, cls0=1)
16:00:14 [INFO] core.detector: frame #240: 1 detections found (max conf=0.884, cls0=1)
16:00:14 [INFO] core.detector: frame #242: 1 detections found (max conf=0.875, cls0=1)
16:00:14 [INFO] core.detector: frame #244: 1 detections found (max conf=0.875, cls0=1)
16:00:14 [INFO] core.detector: frame #246: 1 detections found (max conf=0.841, cls0=1)
16:00:14 [INFO] core.detector: frame #248: 1 detections found (max conf=0.721, cls0=1)
16:00:14 [INFO] core.overlay: overlay render #121: 1 detections
16:00:14 [INFO] core.aim_controller: aim: OK — 67 moves/s (cache=True vel=(-1598,31))
16:00:14 [INFO] core.detector: frame #260: 1 detections found (max conf=0.543, cls8=1)
16:00:14 [INFO] core.detector: frame #263: 2 detections found (max conf=0.856, cls0=1 cls8=1)
16:00:14 [INFO] core.detector: frame #265: 1 detections found (max conf=0.857, cls0=1)
16:00:14 [INFO] core.detector: frame #267: 1 detections found (max conf=0.826, cls0=1)
16:00:14 [INFO] core.detector: frame #269: 1 detections found (max conf=0.865, cls0=1)
16:00:14 [INFO] core.detector: frame #271: 1 detections found (max conf=0.836, cls0=1)
16:00:14 [INFO] core.detector: frame #273: 1 detections found (max conf=0.836, cls0=1)
16:00:14 [INFO] core.detector: frame #275: 1 detections found (max conf=0.858, cls0=1)
16:00:14 [INFO] core.detector: frame #277: 1 detections found (max conf=0.853, cls0=1)
16:00:14 [INFO] core.detector: frame #279: 1 detections found (max conf=0.804, cls0=1)
16:00:14 [INFO] core.detector: frame #281: 2 detections found (max conf=0.651, cls0=1 cls8=1)
16:00:14 [INFO] core.detector: frame #283: 2 detections found (max conf=0.693, cls0=1 cls8=1)
16:00:14 [INFO] core.detector: frame #285: 1 detections found (max conf=0.778, cls0=1)
16:00:14 [INFO] core.detector: frame #287: 1 detections found (max conf=0.806, cls0=1)
16:00:14 [INFO] core.detector: frame #289: 1 detections found (max conf=0.777, cls0=1)
16:00:14 [INFO] core.detector: frame #291: 1 detections found (max conf=0.768, cls0=1)
16:00:14 [INFO] core.aim_controller: aim loop auto-tuned: 67 → 82 Hz (detection: 55 FPS)
16:00:14 [INFO] core.detector: frame #294: 1 detections found (max conf=0.639, cls0=1)
16:00:14 [INFO] core.detector: frame #296: 1 detections found (max conf=0.561, cls0=1)
16:00:14 [INFO] core.detector: frame #298: 1 detections found (max conf=0.665, cls0=1)
16:00:14 [INFO] core.detector: frame #300: 1 detections found (max conf=0.691, cls0=1)
16:00:14 [INFO] core.detector: frame #302: 2 detections found (max conf=0.598, cls0=1 cls8=1)
16:00:15 [INFO] core.detector: frame #304: 1 detections found (max conf=0.633, cls0=1)
16:00:15 [INFO] core.detector: frame #306: 1 detections found (max conf=0.726, cls0=1)
16:00:15 [INFO] core.detector: frame #308: 2 detections found (max conf=0.591, cls0=1 cls8=1)
16:00:15 [INFO] core.detector: frame #310: 1 detections found (max conf=0.593, cls0=1)
16:00:15 [INFO] core.detector: frame #314: 1 detections found (max conf=0.472, cls0=1)
16:00:15 [INFO] core.detector: frame #317: 1 detections found (max conf=0.516, cls0=1)
16:00:15 [INFO] core.detector: frame #319: 1 detections found (max conf=0.473, cls0=1)
16:00:15 [INFO] core.detector: frame #321: 1 detections found (max conf=0.531, cls0=1)
16:00:15 [INFO] core.detector: frame #323: 1 detections found (max conf=0.473, cls0=1)
16:00:15 [INFO] core.detector: frame #325: 1 detections found (max conf=0.602, cls0=1)
16:00:15 [INFO] core.detector: frame #328: 1 detections found (max conf=0.765, cls0=1)
16:00:15 [INFO] core.detector: frame #330: 1 detections found (max conf=0.774, cls0=1)
16:00:15 [INFO] core.detector: frame #332: 1 detections found (max conf=0.557, cls0=1)
16:00:15 [INFO] core.detector: frame #334: 1 detections found (max conf=0.794, cls0=1)
16:00:15 [INFO] core.detector: frame #336: 1 detections found (max conf=0.819, cls0=1)
16:00:15 [INFO] core.detector: frame #338: 1 detections found (max conf=0.835, cls0=1)
16:00:15 [INFO] core.detector: frame #340: 1 detections found (max conf=0.702, cls0=1)
16:00:15 [INFO] core.detector: frame #342: 1 detections found (max conf=0.757, cls0=1)
16:00:15 [INFO] core.detector: frame #344: 1 detections found (max conf=0.729, cls0=1)
16:00:15 [INFO] core.detector: frame #346: 1 detections found (max conf=0.792, cls0=1)
16:00:15 [INFO] core.detector: frame #348: 1 detections found (max conf=0.852, cls0=1)
16:00:15 [INFO] core.detector: frame #350: 1 detections found (max conf=0.693, cls0=1)
16:00:15 [INFO] core.detector: frame #352: 1 detections found (max conf=0.773, cls0=1)
16:00:15 [INFO] core.detector: frame #354: 1 detections found (max conf=0.757, cls0=1)
16:00:15 [INFO] core.detector: frame #356: 1 detections found (max conf=0.684, cls0=1)
16:00:15 [INFO] core.aim_controller: aim: OK — 82 moves/s (cache=True vel=(-861,16))
16:00:15 [INFO] core.detector: frame #358: 1 detections found (max conf=0.715, cls0=1)
16:00:15 [INFO] core.detector: frame #360: 1 detections found (max conf=0.876, cls0=1)
16:00:15 [INFO] core.detector: frame #362: 1 detections found (max conf=0.541, cls0=1)
16:00:15 [INFO] core.detector: frame #364: 1 detections found (max conf=0.776, cls0=1)
16:00:15 [INFO] core.detector: frame #366: 1 detections found (max conf=0.524, cls0=1)
16:00:15 [INFO] core.detector: frame #369: 1 detections found (max conf=0.785, cls0=1)
16:00:15 [INFO] core.detector: frame #371: 1 detections found (max conf=0.790, cls0=1)
16:00:15 [INFO] core.detector: frame #373: 1 detections found (max conf=0.687, cls0=1)
16:00:15 [INFO] core.detector: frame #375: 2 detections found (max conf=0.771, cls0=1 cls8=1)
16:00:15 [INFO] core.detector: frame #377: 2 detections found (max conf=0.792, cls0=1 cls8=1)
16:00:15 [INFO] core.detector: frame #379: 1 detections found (max conf=0.736, cls0=1)
16:00:15 [INFO] core.detector: frame #381: 1 detections found (max conf=0.794, cls0=1)
16:00:15 [INFO] core.detector: frame #386: 1 detections found (max conf=0.606, cls8=1)
16:00:15 [INFO] core.detector: frame #389: 1 detections found (max conf=0.591, cls3=1)
16:00:15 [INFO] core.aim_controller: aim loop auto-tuned: 82 → 79 Hz (detection: 53 FPS)
16:00:15 [INFO] core.detector: frame #391: 1 detections found (max conf=0.479, cls0=1)
16:00:15 [INFO] core.detector: frame #393: 1 detections found (max conf=0.535, cls0=1)
16:00:15 [INFO] core.detector: frame #395: 1 detections found (max conf=0.572, cls0=1)
16:00:15 [INFO] core.detector: frame #397: 1 detections found (max conf=0.619, cls0=1)
16:00:16 [INFO] core.detector: frame #399: 1 detections found (max conf=0.616, cls0=1)
16:00:16 [INFO] core.detector: frame #411: 1 detections found (max conf=0.637, cls1=1)
16:00:16 [INFO] core.detector: frame #413: 1 detections found (max conf=0.850, cls0=1)
16:00:16 [INFO] core.detector: frame #415: 2 detections found (max conf=0.876, cls0=1 cls8=1)
16:00:16 [INFO] core.detector: frame #417: 1 detections found (max conf=0.684, cls0=1)
16:00:16 [INFO] core.detector: frame #419: 1 detections found (max conf=0.768, cls0=1)
16:00:16 [INFO] core.detector: frame #421: 1 detections found (max conf=0.851, cls0=1)
16:00:16 [INFO] core.detector: frame #423: 1 detections found (max conf=0.630, cls0=1)
16:00:16 [INFO] core.detector: frame #425: 1 detections found (max conf=0.832, cls0=1)
16:00:16 [INFO] core.detector: frame #427: 1 detections found (max conf=0.842, cls0=1)
16:00:16 [INFO] core.detector: frame #429: 1 detections found (max conf=0.825, cls0=1)
16:00:16 [INFO] core.detector: frame #431: 1 detections found (max conf=0.852, cls0=1)
16:00:16 [INFO] core.detector: frame #433: 1 detections found (max conf=0.827, cls0=1)
16:00:16 [INFO] core.detector: frame #441: 2 detections found (max conf=0.514, cls1=1 cls13=1)
16:00:16 [INFO] core.aim_controller: aim: OK — 79 moves/s (cache=True vel=(-36,-2))
16:00:16 [INFO] core.detector: frame #446: 1 detections found (max conf=0.836, cls0=1)
16:00:16 [INFO] core.detector: frame #448: 1 detections found (max conf=0.634, cls0=1)
16:00:16 [INFO] core.detector: frame #450: 1 detections found (max conf=0.857, cls0=1)
16:00:16 [INFO] core.detector: frame #451: raw 8400 preds, max conf=0.415 < thres=0.45, all filtered
16:00:16 [INFO] core.detector: frame #453: 1 detections found (max conf=0.869, cls0=1)
16:00:16 [INFO] core.detector: frame #455: 1 detections found (max conf=0.914, cls0=1)
16:00:16 [INFO] core.detector: frame #457: 1 detections found (max conf=0.876, cls0=1)
16:00:16 [INFO] core.detector: frame #459: 1 detections found (max conf=0.803, cls0=1)
16:00:16 [INFO] core.detector: frame #461: 1 detections found (max conf=0.669, cls0=1)
16:00:16 [INFO] core.detector: frame #463: 1 detections found (max conf=0.916, cls0=1)
16:00:16 [INFO] core.detector: frame #465: 1 detections found (max conf=0.904, cls0=1)
16:00:16 [INFO] core.detector: frame #467: 1 detections found (max conf=0.914, cls0=1)
16:00:16 [INFO] core.detector: frame #469: 2 detections found (max conf=0.906, cls0=1 cls9=1)
16:00:16 [INFO] core.detector: frame #471: 1 detections found (max conf=0.891, cls0=1)
16:00:16 [INFO] core.detector: frame #473: 1 detections found (max conf=0.579, cls0=1)
16:00:16 [INFO] core.detector: frame #475: 2 detections found (max conf=0.710, cls0=1 cls2=1)
16:00:16 [INFO] core.detector: frame #477: 2 detections found (max conf=0.730, cls0=1 cls2=1)
16:00:16 [INFO] core.aim_controller: aim loop auto-tuned: 79 → 81 Hz (detection: 54 FPS)
16:00:16 [INFO] core.detector: frame #479: 2 detections found (max conf=0.875, cls0=1 cls2=1)
16:00:16 [INFO] core.detector: frame #481: 2 detections found (max conf=0.818, cls0=1 cls9=1)
16:00:16 [INFO] core.detector: frame #483: 2 detections found (max conf=0.772, cls0=1 cls9=1)
16:00:16 [INFO] core.detector: frame #485: 2 detections found (max conf=0.746, cls0=1 cls9=1)
16:00:16 [INFO] core.overlay: overlay render #181: 2 detections
16:00:16 [INFO] core.detector: frame #487: 2 detections found (max conf=0.738, cls0=1 cls9=1)
16:00:17 [INFO] core.detector: frame #489: 2 detections found (max conf=0.746, cls0=1 cls9=1)
16:00:17 [INFO] core.detector: frame #491: 1 detections found (max conf=0.659, cls0=1)
16:00:17 [INFO] core.detector: frame #493: 1 detections found (max conf=0.779, cls0=1)
16:00:17 [INFO] core.detector: frame #495: 1 detections found (max conf=0.752, cls0=1)
16:00:17 [INFO] core.detector: frame #497: 1 detections found (max conf=0.809, cls0=1)
16:00:17 [INFO] core.detector: frame #499: 1 detections found (max conf=0.794, cls0=1)
16:00:17 [INFO] core.detector: frame #501: 1 detections found (max conf=0.810, cls0=1)
16:00:17 [INFO] core.detector: frame #503: 1 detections found (max conf=0.803, cls0=1)
16:00:17 [INFO] core.detector: frame #505: 1 detections found (max conf=0.801, cls0=1)
16:00:17 [INFO] core.detector: frame #507: 1 detections found (max conf=0.805, cls0=1)
16:00:17 [INFO] core.detector: frame #509: 1 detections found (max conf=0.711, cls0=1)
16:00:17 [INFO] core.detector: frame #512: 1 detections found (max conf=0.836, cls0=1)
16:00:17 [INFO] core.detector: frame #514: 1 detections found (max conf=0.884, cls0=1)
16:00:17 [INFO] core.detector: frame #516: 1 detections found (max conf=0.870, cls0=1)
16:00:17 [INFO] core.detector: frame #518: 1 detections found (max conf=0.850, cls0=1)
16:00:17 [INFO] core.detector: frame #520: 1 detections found (max conf=0.836, cls0=1)
16:00:17 [INFO] core.detector: frame #522: 1 detections found (max conf=0.859, cls0=1)
