epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3548.15,1.03846,0.78296,1.19055,0.94833,0.90962,0.95162,0.70934,0.99384,0.72082,1.16362,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3655.08,1.0333,0.76641,1.18703,0.95055,0.89977,0.95556,0.71118,0.98122,0.69613,1.13911,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3761.15,1.03206,0.7615,1.191,0.95394,0.90001,0.95507,0.70988,1.00787,0.7293,1.18309,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3866.42,1.01757,0.74732,1.17209,0.9536,0.91136,0.95891,0.7173,1.0022,0.67492,1.14819,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3971.09,1.01974,0.74874,1.17227,0.94803,0.91367,0.95687,0.71889,1.00273,0.70256,1.15884,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4074.99,1.0068,0.7373,1.15818,0.96131,0.90703,0.95982,0.72025,0.98355,0.69873,1.14799,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4199.47,1.00404,0.73599,1.16421,0.95234,0.91452,0.95587,0.71886,0.98069,0.69512,1.14711,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4350.95,1.00157,0.73872,1.16663,0.95572,0.9129,0.95932,0.72933,0.95764,0.68129,1.13119,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4464,0.99291,0.72062,1.16251,0.95706,0.91831,0.96081,0.72615,0.96688,0.67675,1.14218,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4564.8,0.99048,0.71779,1.15548,0.95855,0.92445,0.96568,0.7268,0.96833,0.64321,1.13766,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
